,Movies,Plots
1,Thor: Ragnarok,"Two years after the battle of Sokovia, Thor is imprisoned by the fire demon Surtur, who reveals that Thor's father Odin is no longer on Asgard. He explains that the realm will soon be destroyed during the prophesied Ragnarök, once Surtur unites his crown with the Eternal Flame that burns in Odin's vault. Thor frees himself, defeats Surtur and takes his crown, believing he has prevented Ragnarök."
1,Thor: Ragnarok,"Thor returns to Asgard to find Heimdall gone and his estranged brother Loki posing as Odin. After exposing Loki, Thor forces him to help find their father, and with directions from Stephen Strange at the Sanctum Sanctorum in New York City, they locate Odin in Norway. Odin explains that he is dying, Ragnarök is imminent despite Thor's efforts to prevent it, and his passing will free his firstborn child, Hela, from a prison she was sealed in long ago. Hela was the leader of Asgard's armies, conquering the Nine Realms with Odin, but he imprisoned her and wrote her out of history after fearing that she had become too ambitious and powerful."
1,Thor: Ragnarok,"Odin dies as Thor and Loki look on, and Hela appears, destroying Thor's hammer Mjolnir. She pursues the two as they attempt to flee through the Bifröst Bridge, forcing them out into space. Arriving in Asgard, she defeats its army and kills the Warriors Three. She then resurrects the ancient dead who once fought with her, including her giant wolf Fenris, and appoints the Asgardian Skurge as her executioner. Hela plans to use the Bifröst to expand Asgard's empire, but Heimdall sneaks in, takes the sword that controls the Bifrost, and begins hiding other Asgardians. Thor crash-lands on Sakaar, a garbage planet surrounded by wormholes."
1,Thor: Ragnarok,"A slave trader designated Scrapper 142 subdues him with an obedience disk and sells him as a gladiator to Sakaar's ruler, the Grandmaster, with whom Loki has already ingratiated himself. Thor recognizes 142 as a Valkyrie, one of a legendary force of female warriors who were killed fighting Hela eons ago. Thor is forced to compete in the Grandmaster's Contest of Champions, facing his old friend Hulk. Summoning lightning, Thor gets the upper hand, but the Grandmaster sabotages the fight to ensure Hulk's victory. Still enslaved after the fight, Thor attempts to convince Hulk and 142 to help him save Asgard, but neither is willing."
1,Thor: Ragnarok,"He soon manages to escape the palace and finds the Quinjet that brought the Hulk to Sakaar. Hulk follows Thor to the Quinjet, where a recording of Natasha Romanoff causes him to transform back into Bruce Banner for the first time since Sokovia. The Grandmaster orders 142 and Loki to find Thor and Hulk, but the pair come to blows and Loki forces her to relive the deaths of her Valkyrie companions at the hands of Hela. Deciding to help Thor, she takes Loki captive. Unwilling to be left behind, Loki provides the group with the means to steal one of the Grandmaster's ships. They then liberate the other gladiators who, incited by two aliens named Korg and Miek, stage a revolution. Loki again attempts to betray his brother, but Thor anticipates this and incapacitates him, leaving him behind where Korg, Miek, and the gladiators soon find him."
1,Thor: Ragnarok,"Thor, Banner, and 142 escape through a wormhole to Asgard, where Hela's forces attack Heimdall and the remaining Asgardians in pursuit of the sword that controls the Bifröst. Banner transforms into Hulk again, defeating Fenris, while Thor and 142 fight Hela and her warriors. Loki and the gladiators arrive to rescue the citizens, and a repentant Skurge sacrifices himself to enable their escape. Thor, facing Hela, loses his right eye and then has a vision of Odin that helps him realize only Ragnarök can stop her. He sends Loki to retrieve Surtur's crown and place it in the Eternal Flame. Surtur is reborn and destroys Asgard, killing Hela as the refugees flee. Aboard the Grandmaster's spaceship, Thor, now king, reconciles with Loki and decides to take his people to Earth."
1,Thor: Ragnarok,"In a mid-credits scene, they are intercepted by a large spacecraft. In a post-credits scene, the overthrown Grandmaster is confronted by his former subjects."
50,Star Wars: Episode III – Revenge of the Sith,"Above Coruscant, Obi-Wan Kenobi and Anakin Skywalker lead a mission to rescue the kidnapped Supreme Chancellor Palpatine from the cyborg Separatist commander General Grievous. After infiltrating Grievous' flagship, Obi-Wan and Anakin battle the Sith Lord Count Dooku, whom Anakin overpowers and decapitates at Palpatine's urging. Grievous escapes the battle-torn ship, which the Jedi crash-land on Coruscant. There, Anakin reunites with his secret wife, Padmé Amidala, who reveals that she is pregnant. While initially excited, Anakin soon begins to have visions of Padmé dying in childbirth."
50,Star Wars: Episode III – Revenge of the Sith,"Palpatine appoints Anakin to the Jedi Council as his personal representative. The Council, suspicious of Palpatine, approves the appointment but declines to grant Anakin the rank of Master and instead instructs him to spy on Palpatine, diminishing Anakin's faith in the Jedi. Meanwhile, on Utapau, Grievous relocates the Separatist leaders to the volcanic planet Mustafar. Obi-Wan travels to Utapau to confront Grievous and kills him, while Yoda travels to the Wookiee planet of Kashyyyk to defend it from a Separatist invasion."
50,Star Wars: Episode III – Revenge of the Sith,"Palpatine tempts Anakin with his knowledge of the dark side of the Force, and offers to teach him the power to prevent Padmé's death. Anakin deduces that Palpatine is the Sith Lord behind the war and reports his treachery to Mace Windu, who confronts and subdues him. Desperate to save Padmé's life, Anakin severs Windu's hand before he can kill Palpatine, who sends Windu falling to his death with a blast of Force lightning. Anakin pledges himself to the Sith, and Palpatine knights him Darth Vader. Palpatine issues Order 66, which commands the clone troopers to kill their commanding Jedi generals across the galaxy, while Vader and a battalion of clone troopers kill the remaining Jedi in the Jedi Temple. Vader then travels to Mustafar to assassinate the Separatist leaders, while Palpatine declares himself Emperor before the Galactic Senate, transforming the Republic into the Galactic Empire, and denounces the Jedi as traitors."
